company_name,company_symbol,date_uploaded,report_text,quarter,year,pdf_url
Unknown Company (DIPD),DIPD,09 Feb 202511:19 PM,Interim Financial Statements as at 31.12.2024,,,https://cdn.cse.lk/cmt/upload_report_file/670_1739179170721.12.2024.pdf
Unknown Company (DIPD),DIPD,11 Nov 202412:38 AM,Quarterly Financial report as of 30-09-2024,Q3,2024,https://cdn.cse.lk/cmt/upload_report_file/670_1731321532619.pdf
Unknown Company (DIPD),DIPD,07 Aug 202406:01 PM,Interim Financial Statements as of 30/06/2024,Q2,2024,https://cdn.cse.lk/cmt/upload_report_file/670_1723086100776.06.2024.pdf
Unknown Company (DIPD),DIPD,16 May 202412:53 AM,Quarterly Financial report as of 31/03/2024,Q1,2024,https://cdn.cse.lk/cmt/upload_report_file/670_1715853221401.03.2024.pdf
Unknown Company (DIPD),DIPD,11 Feb 202411:56 PM,Quarterly Financial report as of 31-12-2023,Q4,2023,https://cdn.cse.lk/cmt/upload_report_file/670_1707731795368.pdf
Unknown Company (DIPD),DIPD,09 Nov 202312:04 AM,Quarterly Financial report as of 30-09-2023,Q3,2023,https://cdn.cse.lk/cmt/upload_report_file/670_1699524291151.pdf
Unknown Company (DIPD),DIPD,09 Aug 202312:17 AM,Quarterly Financial report as of 30-06-2023,Q2,2023,https://cdn.cse.lk/cmt/upload_report_file/670_1691572631009.pdf
Unknown Company (DIPD),DIPD,18 May 202306:06 PM,Quarterly Financial report as of 31-03-2023,Q1,2023,https://cdn.cse.lk/cmt/upload_report_file/670_1684465615363.pdf
Unknown Company (DIPD),DIPD,12 Feb 202311:49 PM,Quarterly Financial report as of 31-12-2022,Q4,2022,https://cdn.cse.lk/cmt/upload_report_file/670_1676281778649.pdf
Unknown Company (DIPD),DIPD,09 Nov 202205:21 PM,Quarterly Financial report as of 30-09-2022,Q3,2022,https://cdn.cse.lk/cmt/upload_report_file/670_1668050502417.pdf
Unknown Company (DIPD),DIPD,09 Aug 202201:00 AM,Quarterly Financial report as of 30-06-2022,Q2,2022,https://cdn.cse.lk/cmt/upload_report_file/670_1660039239762.pdf
Unknown Company (DIPD),DIPD,19 May 202212:42 AM,Quarterly Financial report as of 31-03-2022,Q1,2022,https://cdn.cse.lk/cmt/upload_report_file/670_1652953354945.pdf
Unknown Company (DIPD),DIPD,10 Feb 202201:15 AM,Quarterly Financial report as of 31-12-2021,Q4,2021,https://cdn.cse.lk/cmt/upload_report_file/670_1644491716959.pdf
Unknown Company (DIPD),DIPD,09 Nov 202112:43 AM,Quarterly Financial report as of 30-09-2021,Q3,2021,https://cdn.cse.lk/cmt/upload_report_file/670_1636454636565.pdf
